written_at,indicator,period,value
2025-09-23T21:13:07,EMA_fast,10,62.1837
2025-09-23T21:13:07,EMA_slow,200,62.3171
2025-09-23T21:13:07,EMA,10,62.1837
2025-09-23T21:13:07,EMA,20,62.1922
2025-09-23T21:13:07,EMA,32,62.2105
2025-09-23T21:13:07,EMA,50,62.2359
2025-09-23T21:13:07,EMA,100,62.29
2025-09-23T21:13:07,EMA,200,62.3171
2025-09-23T21:13:07,CCI,14,108.98203592813613
2025-09-23T22:36:51,EMA_fast,10,62.5357
2025-09-23T22:36:51,EMA_slow,200,62.3641
2025-09-23T22:36:51,EMA,10,62.5357
2025-09-23T22:36:51,EMA,20,62.5202
2025-09-23T22:36:51,EMA,32,62.4945
2025-09-23T22:36:51,EMA,50,62.4579
2025-09-23T22:36:51,EMA,100,62.3988
2025-09-23T22:36:51,EMA,200,62.3641
2025-09-23T22:36:51,CCI,14,28.00000000000186
2025-09-23T22:37:53,EMA_fast,10,62.5365
2025-09-23T22:37:53,EMA_slow,200,62.3658
2025-09-23T22:37:53,EMA,10,62.5365
2025-09-23T22:37:53,EMA,20,62.5221
2025-09-23T22:37:53,EMA,32,62.4973
2025-09-23T22:37:53,EMA,50,62.4611
2025-09-23T22:37:53,EMA,100,62.4016
2025-09-23T22:37:53,EMA,200,62.3658
2025-09-23T22:37:53,CCI,14,0.0
2025-09-23T22:53:36,EMA_fast,10,62.5355
2025-09-23T22:53:36,EMA_slow,200,62.3904
2025-09-23T22:53:36,CCI,14,51.85185185184366
2025-09-23T22:59:32,EMA_fast,10,62.5386
2025-09-23T22:59:32,EMA_slow,200,62.3992
2025-09-23T22:59:32,CCI,14,0.0
2025-09-23T23:01:46,EMA_fast,10,62.5391
2025-09-23T23:01:46,EMA_slow,200,62.4019
2025-09-23T23:01:46,CCI,14,0.0
2025-09-23T23:23:43,EMA_fast,10,62.5228
2025-09-23T23:23:43,EMA_slow,200,62.4292
2025-09-23T23:23:43,CCI,14,-155.5555555555497
2025-09-23T23:26:28,EMA_fast,10,62.5108
2025-09-23T23:26:28,EMA_slow,200,62.4303
2025-09-23T23:26:28,CCI,14,-105.95813204509128
2025-09-23T23:34:06,EMA_fast,10,62.4862
2025-09-23T23:34:06,EMA_slow,200,62.4341
2025-09-23T23:34:06,CCI,14,-58.333333333338906
2025-09-24T08:39:31,EMA_fast,10,62.2846
2025-09-24T08:39:31,EMA_slow,200,62.4091
2025-09-24T08:39:31,CCI,14,466.66666666702383
2025-09-24T09:52:13,EMA_fast,10,62.2818
2025-09-24T09:52:13,EMA_slow,200,62.3699
2025-09-24T09:52:13,CCI,14,0
2025-09-24T12:39:24,EMA_fast,10,62.4597
2025-09-24T12:39:24,EMA_slow,200,62.3722
2025-09-24T12:39:24,EMA,10,62.4597
2025-09-24T12:39:24,EMA,20,62.4309
2025-09-24T12:39:24,EMA,32,62.3981
2025-09-24T12:39:24,EMA,50,62.3742
2025-09-24T12:39:24,EMA,100,62.3657
2025-09-24T12:39:24,EMA,200,62.3722
2025-09-24T12:39:24,CCI,14,466.66666666702383
2025-09-24T17:55:24,EMA_fast,10,62.8177
2025-09-24T17:55:24,EMA_slow,200,62.868
2025-09-24T17:55:24,EMA,10,62.8177
2025-09-24T17:55:24,EMA,20,62.8462
2025-09-24T17:55:24,EMA,32,62.8681
2025-09-24T17:55:24,EMA,50,62.8865
2025-09-24T17:55:24,EMA,100,62.9014
2025-09-24T17:55:24,EMA,200,62.868
2025-09-24T17:55:24,CCI,14,-2.2988505747089545
2025-09-24T18:58:42,EMA_fast,10,63.2153
2025-09-24T18:58:42,EMA_slow,200,62.9846
2025-09-24T18:58:42,EMA,10,63.2153
2025-09-24T18:58:42,EMA,20,63.1866
2025-09-24T18:58:42,EMA,32,63.1617
2025-09-24T18:58:42,EMA,50,63.1283
2025-09-24T18:58:42,EMA,100,63.0633
2025-09-24T18:58:42,EMA,200,62.9846
2025-09-24T18:58:42,CCI,14,97.57575757575589
2025-09-24T19:15:57,EMA_fast,10,63.1933
