written_at,indicator,period,value
2025-09-23T21:12:59,EMA_fast,10,62.8114
2025-09-23T21:12:59,EMA_slow,200,62.9349
2025-09-23T21:12:59,EMA,10,62.8114
2025-09-23T21:12:59,EMA,20,62.8155
2025-09-23T21:12:59,EMA,32,62.8316
2025-09-23T21:12:59,EMA,50,62.8564
2025-09-23T21:12:59,EMA,100,62.9109
2025-09-23T21:12:59,EMA,200,62.9349
2025-09-23T21:12:59,CCI,14,87.00468840877721
2025-09-23T22:36:41,EMA_fast,10,63.2108
2025-09-23T22:36:41,EMA_slow,200,63.0089
2025-09-23T22:36:41,EMA,10,63.2108
2025-09-23T22:36:41,EMA,20,63.2013
2025-09-23T22:36:41,EMA,32,63.1753
2025-09-23T22:36:41,EMA,50,63.1336
2025-09-23T22:36:41,EMA,100,63.0603
2025-09-23T22:36:41,EMA,200,63.0089
2025-09-23T22:36:41,CCI,14,-32.9011799159894
2025-09-23T22:37:43,EMA_fast,10,63.2007
2025-09-23T22:37:43,EMA_slow,200,63.0102
2025-09-23T22:37:43,EMA,10,63.2007
2025-09-23T22:37:43,EMA,20,63.1967
2025-09-23T22:37:43,EMA,32,63.1739
2025-09-23T22:37:43,EMA,50,63.1343
2025-09-23T22:37:43,EMA,100,63.0621
2025-09-23T22:37:43,EMA,200,63.0102
2025-09-23T22:37:43,CCI,14,-120.18504251548055
2025-09-23T22:53:26,EMA_fast,10,63.1996
2025-09-23T22:53:26,EMA_slow,200,63.0378
2025-09-23T22:53:26,EMA,10,63.1996
2025-09-23T22:53:26,EMA,20,63.2003
2025-09-23T22:53:26,EMA,32,63.1909
2025-09-23T22:53:26,EMA,50,63.1649
2025-09-23T22:53:26,EMA,100,63.0984
2025-09-23T22:53:26,EMA,200,63.0378
2025-09-23T22:53:26,CCI,14,-56.29552169615583
2025-09-23T22:59:23,EMA_fast,10,63.2145
2025-09-23T22:59:23,EMA_slow,200,63.0485
2025-09-23T22:59:23,EMA,10,63.2145
2025-09-23T22:59:23,EMA,20,63.2097
2025-09-23T22:59:23,EMA,32,63.2005
2025-09-23T22:59:23,EMA,50,63.177
2025-09-23T22:59:23,EMA,100,63.1124
2025-09-23T22:59:23,EMA,200,63.0485
2025-09-23T22:59:23,CCI,14,46.613019368421675
2025-09-23T23:01:36,EMA_fast,10,63.2164
2025-09-23T23:01:36,EMA_slow,200,63.0534
2025-09-23T23:01:36,EMA,10,63.2164
2025-09-23T23:01:36,EMA,20,63.2122
2025-09-23T23:01:36,EMA,32,63.2037
2025-09-23T23:01:36,EMA,50,63.1818
2025-09-23T23:01:36,EMA,100,63.1186
2025-09-23T23:01:36,EMA,200,63.0534
2025-09-23T23:01:36,CCI,14,-13.252031762283128
2025-09-23T23:23:32,EMA_fast,10,63.1939
2025-09-23T23:23:32,EMA_slow,200,63.0843
2025-09-23T23:23:32,EMA,10,63.1939
2025-09-23T23:23:32,EMA,20,63.2016
2025-09-23T23:23:32,EMA,32,63.2031
2025-09-23T23:23:32,EMA,50,63.1951
2025-09-23T23:23:32,EMA,100,63.1497
2025-09-23T23:23:32,EMA,200,63.0843
2025-09-23T23:23:32,CCI,14,-131.8124325491317
2025-09-23T23:26:19,EMA_fast,10,63.1764
2025-09-23T23:26:19,EMA_slow,200,63.0852
2025-09-23T23:26:19,EMA,10,63.1764
2025-09-23T23:26:19,EMA,20,63.1905
2025-09-23T23:26:19,EMA,32,63.1957
2025-09-23T23:26:19,EMA,50,63.1909
2025-09-23T23:26:19,EMA,100,63.1493
2025-09-23T23:26:19,EMA,200,63.0852
2025-09-23T23:26:19,CCI,14,-130.4187390534195
2025-09-23T23:33:56,EMA_fast,10,63.1428
2025-09-23T23:33:56,EMA_slow,200,63.0887
2025-09-23T23:33:56,EMA,10,63.1428
2025-09-23T23:33:56,EMA,20,63.1601
2025-09-23T23:33:56,EMA,32,63.1721
2025-09-23T23:33:56,EMA,50,63.1758
2025-09-23T23:33:56,EMA,100,63.1474
2025-09-23T23:33:56,EMA,200,63.0887
2025-09-23T23:33:56,CCI,14,-58.29830881300339
2025-09-24T08:39:22,EMA_fast,10,62.9999
2025-09-24T08:39:22,EMA_slow,200,63.0667
2025-09-24T08:39:22,EMA,10,62.9999
2025-09-24T08:39:22,EMA,20,62.9958
2025-09-24T08:39:22,EMA,32,62.9989
2025-09-24T08:39:22,EMA,50,63.0086
2025-09-24T08:39:22,EMA,100,63.0333
2025-09-24T08:39:22,EMA,200,63.0667
2025-09-24T08:39:22,CCI,14,25.31965467633931
2025-09-24T09:52:03,EMA_fast,10,62.9854
2025-09-24T09:52:03,EMA_slow,200,63.039
2025-09-24T09:52:03,EMA,10,62.9854
2025-09-24T09:52:03,EMA,20,62.9852
2025-09-24T09:52:03,EMA,32,62.9899
2025-09-24T09:52:03,EMA,50,62.9976
2025-09-24T09:52:03,EMA,100,63.0128
2025-09-24T09:52:03,EMA,200,63.039
2025-09-24T09:52:03,CCI,14,-56.76838582639384
2025-09-24T12:39:16,EMA_fast,10,63.1293
2025-09-24T12:39:16,EMA_slow,200,63.0464
