written_at,indicator,period,value
2025-09-24T12:20:34,EMA,10,62.7152
2025-09-24T12:20:34,EMA,20,62.6618
2025-09-24T12:20:34,EMA,32,62.6414
2025-09-24T12:20:34,EMA,50,62.6455
2025-09-24T12:20:34,EMA,100,62.6773
2025-09-24T12:20:34,EMA,200,62.7038
2025-09-24T12:39:07,EMA,10,62.7863
2025-09-24T12:39:07,EMA,20,62.7618
2025-09-24T12:39:07,EMA,32,62.7345
2025-09-24T12:39:07,EMA,50,62.7136
2025-09-24T12:39:07,EMA,100,62.7076
2025-09-24T12:39:07,EMA,200,62.7153
2025-09-24T18:58:22,EMA,10,63.7014
2025-09-24T18:58:22,EMA,20,63.6676
2025-09-24T18:58:22,EMA,32,63.639
2025-09-24T18:58:22,EMA,50,63.601
2025-09-24T18:58:22,EMA,100,63.5256
2025-09-24T18:58:22,EMA,200,63.4299
2025-09-24T19:15:38,EMA,10,63.685
2025-09-24T19:15:38,EMA,20,63.6862
2025-09-24T19:15:38,EMA,32,63.6756
2025-09-24T19:15:38,EMA,50,63.6495
2025-09-24T19:15:38,EMA,100,63.5777
2025-09-24T19:15:38,EMA,200,63.4741
2025-09-24T19:50:42,EMA,10,63.6801
2025-09-24T19:50:42,EMA,20,63.6698
2025-09-24T19:50:42,EMA,32,63.6646
2025-09-24T19:50:42,EMA,50,63.6566
2025-09-24T19:50:42,EMA,100,63.6165
2025-09-24T19:50:42,EMA,200,63.5253
2025-09-24T20:38:25,EMA,10,63.9216
2025-09-24T20:38:25,EMA,20,63.8961
2025-09-24T20:38:25,EMA,32,63.8616
2025-09-24T20:38:25,EMA,50,63.821
2025-09-24T20:38:25,EMA,100,63.745
2025-09-24T20:38:25,EMA,200,63.6347
2025-09-24T20:55:31,EMA,10,63.9141
2025-09-24T20:55:31,EMA,20,63.9112
2025-09-24T20:55:31,EMA,32,63.8966
2025-09-24T20:55:31,EMA,50,63.8681
2025-09-24T20:55:31,EMA,100,63.7955
2025-09-24T20:55:31,EMA,200,63.6804
2025-09-24T21:02:00,EMA,10,63.9009
2025-09-24T21:02:00,EMA,20,63.9032
2025-09-24T21:02:00,EMA,32,63.8954
2025-09-24T21:02:00,EMA,50,63.8733
2025-09-24T21:02:00,EMA,100,63.8064
2025-09-24T21:02:00,EMA,200,63.6931
2025-09-24T21:11:25,EMA,10,63.8853
2025-09-24T21:11:25,EMA,20,63.8924
2025-09-24T21:11:25,EMA,32,63.8914
2025-09-24T21:11:25,EMA,50,63.8773
2025-09-24T21:11:25,EMA,100,63.8197
2025-09-24T21:11:25,EMA,200,63.7103
2025-09-25T07:26:16,EMA,10,63.744
2025-09-25T07:26:16,EMA,20,63.7438
2025-09-25T07:26:16,EMA,32,63.7427
2025-09-25T07:26:16,EMA,50,63.7425
2025-09-25T07:26:16,EMA,100,63.746
2025-09-25T07:26:16,EMA,200,63.7561
2025-09-25T07:27:14,EMA,10,63.7378
2025-09-25T07:27:14,EMA,20,63.7406
2025-09-25T07:27:14,EMA,32,63.7407
2025-09-25T07:27:14,EMA,50,63.7412
2025-09-25T07:27:14,EMA,100,63.7452
2025-09-25T07:27:14,EMA,200,63.7555
2025-09-25T11:00:07,EMA,10,63.6597
2025-09-25T11:00:07,EMA,20,63.6559
2025-09-25T11:00:07,EMA,32,63.6727
2025-09-25T11:00:07,EMA,50,63.697
2025-09-25T11:00:07,EMA,100,63.7274
2025-09-25T11:00:07,EMA,200,63.7388
2025-09-25T11:02:27,EMA,10,63.6862
2025-09-25T11:02:27,EMA,20,63.6712
2025-09-25T11:02:27,EMA,32,63.6806
2025-09-25T11:02:27,EMA,50,63.7003
2025-09-25T11:02:27,EMA,100,63.7279
2025-09-25T11:02:27,EMA,200,63.7388
2025-09-25T11:03:57,EMA,10,63.7052
2025-09-25T11:03:57,EMA,20,63.6844
2025-09-25T11:03:57,EMA,32,63.6881
2025-09-25T11:03:57,EMA,50,63.7037
2025-09-25T11:03:57,EMA,100,63.7286
2025-09-25T11:03:57,EMA,200,63.7389
